Rank,Club,Country,Level,Elo,From,To
None,Sassuolo,ITA,1,1580.13244629,2020-01-06,2020-01-12
None,Sassuolo,ITA,1,1568.39416504,2020-01-13,2020-01-18
None,Sassuolo,ITA,1,1577.39746094,2020-01-19,2020-01-26
None,Sassuolo,ITA,1,1579.15917969,2020-01-27,2020-02-01
None,Sassuolo,ITA,1,1594.32775879,2020-02-02,2020-02-09
96,Sassuolo,ITA,1,1601.39440918,2020-02-10,2020-02-15
95,Sassuolo,ITA,1,1601.39440918,2020-02-16,2020-02-16
None,Sassuolo,ITA,1,1591.26416016,2020-02-17,2020-02-19
97,Sassuolo,ITA,1,1596.57800293,2020-02-20,2020-02-20
96,Sassuolo,ITA,1,1599.22473145,2020-02-21,2020-02-24
97,Sassuolo,ITA,1,1599.22473145,2020-02-25,2020-02-25
97,Sassuolo,ITA,1,1599.28747559,2020-02-26,2020-02-26
99,Sassuolo,ITA,1,1596.89624023,2020-02-27,2020-02-27
100,Sassuolo,ITA,1,1598.3527832,2020-02-28,2020-02-29
99,Sassuolo,ITA,1,1598.3527832,2020-03-01,2020-03-07
None,Sassuolo,ITA,1,1598.3527832,2020-03-08,2020-03-09
99,Sassuolo,ITA,1,1604.79309082,2020-03-10,2020-03-10
97,Sassuolo,ITA,1,1606.58813477,2020-03-11,2020-03-11
99,Sassuolo,ITA,1,1606.58813477,2020-03-12,2020-03-12
96,Sassuolo,ITA,1,1606.58813477,2020-03-13,2020-05-27
97,Sassuolo,ITA,1,1606.58813477,2020-05-28,2020-05-30
96,Sassuolo,ITA,1,1606.58813477,2020-05-31,2020-05-31
95,Sassuolo,ITA,1,1606.58813477,2020-06-01,2020-06-07
96,Sassuolo,ITA,1,1606.58813477,2020-06-08,2020-06-13
95,Sassuolo,ITA,1,1606.58813477,2020-06-14,2020-06-17
96,Sassuolo,ITA,1,1606.58813477,2020-06-18,2020-06-20
95,Sassuolo,ITA,1,1606.58813477,2020-06-21,2020-06-21
97,Sassuolo,ITA,1,1602.51330566,2020-06-22,2020-06-24
96,Sassuolo,ITA,1,1608.69848633,2020-06-25,2020-06-26
95,Sassuolo,ITA,1,1608.69848633,2020-06-27,2020-06-27
92,Sassuolo,ITA,1,1608.69848633,2020-06-28,2020-06-28
92,Sassuolo,ITA,1,1605.79736328,2020-06-29,2020-06-30
93,Sassuolo,ITA,1,1605.79736328,2020-07-01,2020-07-01
81,Sassuolo,ITA,1,1619.15734863,2020-07-02,2020-07-04
78,Sassuolo,ITA,1,1624.44824219,2020-07-05,2020-07-05
79,Sassuolo,ITA,1,1624.44824219,2020-07-06,2020-07-08
76,Sassuolo,ITA,1,1633.12548828,2020-07-09,2020-07-09
77,Sassuolo,ITA,1,1633.12548828,2020-07-10,2020-07-11
69,Sassuolo,ITA,1,1644.9083252,2020-07-12,2020-07-15
66,Sassuolo,ITA,1,1650.1060791,2020-07-16,2020-07-16
68,Sassuolo,ITA,1,1650.1060791,2020-07-17,2020-07-18
67,Sassuolo,ITA,1,1649.57885742,2020-07-19,2020-07-21
71,Sassuolo,ITA,1,1642.71716309,2020-07-22,2020-07-24
72,Sassuolo,ITA,1,1642.71716309,2020-07-25,2020-07-25
74,Sassuolo,ITA,1,1637.24731445,2020-07-26,2020-07-26
75,Sassuolo,ITA,1,1637.24731445,2020-07-27,2020-07-29
69,Sassuolo,ITA,1,1647.57910156,2020-07-30,2020-08-02
77,Sassuolo,ITA,1,1636.68530273,2020-08-03,2020-08-05
75,Sassuolo,ITA,1,1639.97680664,2020-08-06,2020-08-06
76,Sassuolo,ITA,1,1636.72106934,2020-08-07,2020-08-07
78,Sassuolo,ITA,1,1634.27893066,2020-08-08,2020-08-08
78,Sassuolo,ITA,1,1632.5958252,2020-08-09,2020-08-10
77,Sassuolo,ITA,1,1635.21264648,2020-08-11,2020-08-11
76,Sassuolo,ITA,1,1635.21264648,2020-08-12,2020-08-12
78,Sassuolo,ITA,1,1633.09338379,2020-08-13,2020-08-13
79,Sassuolo,ITA,1,1633.09338379,2020-08-14,2020-08-15
77,Sassuolo,ITA,1,1633.09338379,2020-08-16,2020-08-17
75,Sassuolo,ITA,1,1638.63305664,2020-08-18,2020-08-18
74,Sassuolo,ITA,1,1638.63305664,2020-08-19,2020-08-21
76,Sassuolo,ITA,1,1635.69091797,2020-08-22,2020-08-29
77,Sassuolo,ITA,1,1635.69091797,2020-08-30,2020-09-12
76,Sassuolo,ITA,1,1635.69091797,2020-09-13,2020-09-13
75,Sassuolo,ITA,1,1635.69091797,2020-09-14,2020-09-15
77,Sassuolo,ITA,1,1635.69091797,2020-09-16,2020-09-16
76,Sassuolo,ITA,1,1635.69091797,2020-09-17,2020-09-17
74,Sassuolo,ITA,1,1635.98779297,2020-09-18,2020-09-19
73,Sassuolo,ITA,1,1635.98779297,2020-09-20,2020-09-20
74,Sassuolo,ITA,1,1633.13427734,2020-09-21,2020-09-24
74,Sassuolo,ITA,1,1633.78173828,2020-09-25,2020-09-26
76,Sassuolo,ITA,1,1633.78173828,2020-09-27,2020-09-27
74,Sassuolo,ITA,1,1641.97192383,2020-09-28,2020-09-29
75,Sassuolo,ITA,1,1641.97192383,2020-09-30,2020-09-30
74,Sassuolo,ITA,1,1641.97192383,2020-10-01,2020-10-01
74,Sassuolo,ITA,1,1640.22436523,2020-10-02,2020-10-02
73,Sassuolo,ITA,1,1640.22436523,2020-10-03,2020-10-03
69,Sassuolo,ITA,1,1646.42651367,2020-10-04,2020-10-11
68,Sassuolo,ITA,1,1646.42651367,2020-10-12,2020-10-17
67,Sassuolo,ITA,1,1646.42651367,2020-10-18,2020-10-18
65,Sassuolo,ITA,1,1653.7833252,2020-10-19,2020-10-20
61,Sassuolo,ITA,1,1661.21801758,2020-10-21,2020-10-21
61,Sassuolo,ITA,1,1662.4765625,2020-10-22,2020-10-22
64,Sassuolo,ITA,1,1662.53625488,2020-10-23,2020-10-23
65,Sassuolo,ITA,1,1658.77246094,2020-10-24,2020-10-25
64,Sassuolo,ITA,1,1658.77246094,2020-10-26,2020-10-27
65,Sassuolo,ITA,1,1657.53271484,2020-10-28,2020-10-28
67,Sassuolo,ITA,1,1653.91491699,2020-10-29,2020-10-29
67,Sassuolo,ITA,1,1655.61779785,2020-10-30,2020-10-31
66,Sassuolo,ITA,1,1655.61779785,2020-11-01,2020-11-01
57,Sassuolo,ITA,1,1672.85656738,2020-11-02,2020-11-02
56,Sassuolo,ITA,1,1672.85656738,2020-11-03,2020-11-03
60,Sassuolo,ITA,1,1667.32653809,2020-11-04,2020-11-04
57,Sassuolo,ITA,1,1669.39440918,2020-11-05,2020-11-05
62,Sassuolo,ITA,1,1665.60473633,2020-11-06,2020-11-06
63,Sassuolo,ITA,1,1661.54541016,2020-11-07,2020-11-07
64,Sassuolo,ITA,1,1661.54541016,2020-11-08,2020-11-22
58,Sassuolo,ITA,1,1671.1484375,2020-11-23,2020-11-23
57,Sassuolo,ITA,1,1671.1484375,2020-11-24,2020-11-24
55,Sassuolo,ITA,1,1674.28747559,2020-11-25,2020-11-25
53,Sassuolo,ITA,1,1677.64025879,2020-11-26,2020-11-26
52,Sassuolo,ITA,1,1680.4630127,2020-11-27,2020-11-28
56,Sassuolo,ITA,1,1671.4498291,2020-11-29,2020-11-29
57,Sassuolo,ITA,1,1671.4498291,2020-11-30,2020-11-30
58,Sassuolo,ITA,1,1671.4498291,2020-12-01,2020-12-01
56,Sassuolo,ITA,1,1672.26037598,2020-12-02,2020-12-02
55,Sassuolo,ITA,1,1675.30200195,2020-12-03,2020-12-03
53,Sassuolo,ITA,1,1677.31115723,2020-12-04,2020-12-04
54,Sassuolo,ITA,1,1677.31115723,2020-12-05,2020-12-05
55,Sassuolo,ITA,1,1677.31115723,2020-12-06,2020-12-06
54,Sassuolo,ITA,1,1681.26806641,2020-12-07,2020-12-07
53,Sassuolo,ITA,1,1681.26806641,2020-12-08,2020-12-08
50,Sassuolo,ITA,1,1686.52124023,2020-12-09,2020-12-09
49,Sassuolo,ITA,1,1687.95166016,2020-12-10,2020-12-10
53,Sassuolo,ITA,1,1681.5255127,2020-12-11,2020-12-11
51,Sassuolo,ITA,1,1685.6973877,2020-12-12,2020-12-12
53,Sassuolo,ITA,1,1685.6973877,2020-12-13,2020-12-16
53,Sassuolo,ITA,1,1684.70812988,2020-12-17,2020-12-17
54,Sassuolo,ITA,1,1684.70812988,2020-12-18,2020-12-18
55,Sassuolo,ITA,1,1684.70812988,2020-12-19,2020-12-20
57,Sassuolo,ITA,1,1678.9263916,2020-12-21,2020-12-23
56,Sassuolo,ITA,1,1686.14660645,2020-12-24,2020-12-26
55,Sassuolo,ITA,1,1686.14660645,2020-12-27,2020-12-28
56,Sassuolo,ITA,1,1686.14660645,2020-12-29,2020-12-29
57,Sassuolo,ITA,1,1686.14660645,2020-12-30,2021-01-03
61,Sassuolo,ITA,1,1678.49389648,2021-01-04,2021-01-06
59,Sassuolo,ITA,1,1682.71081543,2021-01-07,2021-01-08
58,Sassuolo,ITA,1,1682.71081543,2021-01-09,2021-01-10
60,Sassuolo,ITA,1,1678.18530273,2021-01-11,2021-01-12
59,Sassuolo,ITA,1,1678.18530273,2021-01-13,2021-01-16
58,Sassuolo,ITA,1,1678.18530273,2021-01-17,2021-01-17
61,Sassuolo,ITA,1,1673.84899902,2021-01-18,2021-01-18
60,Sassuolo,ITA,1,1673.84899902,2021-01-19,2021-01-19
59,Sassuolo,ITA,1,1673.84899902,2021-01-20,2021-01-20
58,Sassuolo,ITA,1,1673.84899902,2021-01-21,2021-01-21
57,Sassuolo,ITA,1,1673.84899902,2021-01-22,2021-01-23
58,Sassuolo,ITA,1,1673.84899902,2021-01-24,2021-01-24
62,Sassuolo,ITA,1,1668.91650391,2021-01-25,2021-01-26
63,Sassuolo,ITA,1,1668.91650391,2021-01-27,2021-01-30
62,Sassuolo,ITA,1,1668.91650391,2021-01-31,2021-01-31
63,Sassuolo,ITA,1,1666.9005127,2021-02-01,2021-02-01
64,Sassuolo,ITA,1,1666.9005127,2021-02-02,2021-02-02
63,Sassuolo,ITA,1,1666.9005127,2021-02-03,2021-02-06
72,Sassuolo,ITA,1,1654.0255127,2021-02-07,2021-02-10
73,Sassuolo,ITA,1,1654.0255127,2021-02-11,2021-02-14
68,Sassuolo,ITA,1,1658.72473145,2021-02-15,2021-02-17
68,Sassuolo,ITA,1,1656.78723145,2021-02-18,2021-02-18
68,Sassuolo,ITA,1,1655.54089355,2021-02-19,2021-02-20
69,Sassuolo,ITA,1,1652.7980957,2021-02-21,2021-02-21
70,Sassuolo,ITA,1,1652.7980957,2021-02-22,2021-02-23
70,Sassuolo,ITA,1,1651.65991211,2021-02-24,2021-02-24
70,Sassuolo,ITA,1,1649.77661133,2021-02-25,2021-02-25
68,Sassuolo,ITA,1,1652.37817383,2021-02-26,2021-02-28
70,Sassuolo,ITA,1,1652.37817383,2021-03-01,2021-03-03
68,Sassuolo,ITA,1,1653.99499512,2021-03-04,2021-03-06
74,Sassuolo,ITA,1,1642.30041504,2021-03-07,2021-03-08
73,Sassuolo,ITA,1,1642.30041504,2021-03-09,2021-03-09
74,Sassuolo,ITA,1,1640.92456055,2021-03-10,2021-03-11
73,Sassuolo,ITA,1,1646.80932617,2021-03-12,2021-03-13
73,Sassuolo,ITA,1,1653.35986328,2021-03-14,2021-03-14
72,Sassuolo,ITA,1,1653.35986328,2021-03-15,2021-03-16
72,Sassuolo,ITA,1,1650.91149902,2021-03-17,2021-03-17
76,Sassuolo,ITA,1,1641.88757324,2021-03-18,2021-03-18
76,Sassuolo,ITA,1,1640.74304199,2021-03-19,2021-03-20
75,Sassuolo,ITA,1,1640.74304199,2021-03-21,2021-03-21
76,Sassuolo,ITA,1,1640.74304199,2021-03-22,2021-04-01
77,Sassuolo,ITA,1,1640.74304199,2021-04-02,2021-04-02
76,Sassuolo,ITA,1,1640.74304199,2021-04-03,2021-04-03
75,Sassuolo,ITA,1,1643.24121094,2021-04-04,2021-04-06
76,Sassuolo,ITA,1,1643.24121094,2021-04-07,2021-04-07
76,Sassuolo,ITA,1,1641.08154297,2021-04-08,2021-04-08
75,Sassuolo,ITA,1,1644.30163574,2021-04-09,2021-04-12
73,Sassuolo,ITA,1,1650.71411133,2021-04-13,2021-04-13
74,Sassuolo,ITA,1,1650.71411133,2021-04-14,2021-04-15
73,Sassuolo,ITA,1,1651.72644043,2021-04-16,2021-04-17
68,Sassuolo,ITA,1,1660.6385498,2021-04-18,2021-04-20
69,Sassuolo,ITA,1,1660.6385498,2021-04-21,2021-04-21
64,Sassuolo,ITA,1,1672.51660156,2021-04-22,2021-04-22
63,Sassuolo,ITA,1,1672.51660156,2021-04-23,2021-04-24
64,Sassuolo,ITA,1,1678.2755127,2021-04-25,2021-04-25
65,Sassuolo,ITA,1,1678.2755127,2021-04-26,2021-04-29
65,Sassuolo,ITA,1,1676.10070801,2021-04-30,2021-04-30
64,Sassuolo,ITA,1,1676.10070801,2021-05-01,2021-05-02
62,Sassuolo,ITA,1,1679.57641602,2021-05-03,2021-05-05
60,Sassuolo,ITA,1,1679.57641602,2021-05-06,2021-05-06
60,Sassuolo,ITA,1,1680.04040527,2021-05-07,2021-05-09
60,Sassuolo,ITA,1,1686.90612793,2021-05-10,2021-05-12
60,Sassuolo,ITA,1,1679.20507812,2021-05-13,2021-05-14
61,Sassuolo,ITA,1,1679.20507812,2021-05-15,2021-05-15
62,Sassuolo,ITA,1,1679.20507812,2021-05-16,2021-05-16
59,Sassuolo,ITA,1,1685.73376465,2021-05-17,2021-05-22
58,Sassuolo,ITA,1,1685.73376465,2021-05-23,2021-05-23
55,Sassuolo,ITA,1,1697.33581543,2021-05-24,2021-07-16
54,Sassuolo,ITA,1,1697.33581543,2021-07-17,2021-07-27
55,Sassuolo,ITA,1,1697.33581543,2021-07-28,2021-07-29
52,Sassuolo,ITA,1,1697.33581543,2021-07-30,2021-08-05
53,Sassuolo,ITA,1,1697.33581543,2021-08-06,2021-08-07
51,Sassuolo,ITA,1,1697.33581543,2021-08-08,2021-08-10
50,Sassuolo,ITA,1,1697.33581543,2021-08-11,2021-08-14
51,Sassuolo,ITA,1,1697.33581543,2021-08-15,2021-08-18
50,Sassuolo,ITA,1,1697.33581543,2021-08-19,2021-08-19
49,Sassuolo,ITA,1,1698.12451172,2021-08-20,2021-08-21
48,Sassuolo,ITA,1,1704.32666016,2021-08-22,2021-08-22
47,Sassuolo,ITA,1,1704.32666016,2021-08-23,2021-08-26
47,Sassuolo,ITA,1,1705.43823242,2021-08-27,2021-08-29
47,Sassuolo,ITA,1,1702.41882324,2021-08-30,2021-09-11
48,Sassuolo,ITA,1,1702.41882324,2021-09-12,2021-09-12
51,Sassuolo,ITA,1,1696.99316406,2021-09-13,2021-09-13
50,Sassuolo,ITA,1,1696.99316406,2021-09-14,2021-09-14
48,Sassuolo,ITA,1,1700.28735352,2021-09-15,2021-09-15
53,Sassuolo,ITA,1,1695.82531738,2021-09-16,2021-09-16
51,Sassuolo,ITA,1,1693.98071289,2021-09-17,2021-09-17
58,Sassuolo,ITA,1,1682.3347168,2021-09-18,2021-09-21
60,Sassuolo,ITA,1,1678.59204102,2021-09-22,2021-09-22
61,Sassuolo,ITA,1,1678.59204102,2021-09-23,2021-09-23
60,Sassuolo,ITA,1,1678.59204102,2021-09-24,2021-09-26
60,Sassuolo,ITA,1,1681.26635742,2021-09-27,2021-09-28
61,Sassuolo,ITA,1,1676.78051758,2021-09-29,2021-09-29
60,Sassuolo,ITA,1,1681.33288574,2021-09-30,2021-09-30
61,Sassuolo,ITA,1,1679.72692871,2021-10-01,2021-10-02
63,Sassuolo,ITA,1,1675.80847168,2021-10-03,2021-10-03
61,Sassuolo,ITA,1,1675.80847168,2021-10-04,2021-10-15
62,Sassuolo,ITA,1,1675.80847168,2021-10-16,2021-10-17
62,Sassuolo,ITA,1,1674.36132812,2021-10-18,2021-10-19
61,Sassuolo,ITA,1,1672.43432617,2021-10-20,2021-10-20
61,Sassuolo,ITA,1,1672.72485352,2021-10-21,2021-10-21
65,Sassuolo,ITA,1,1663.59875488,2021-10-22,2021-10-22
66,Sassuolo,ITA,1,1663.59875488,2021-10-23,2021-10-23
64,Sassuolo,ITA,1,1668.06713867,2021-10-24,2021-10-24
65,Sassuolo,ITA,1,1668.06713867,2021-10-25,2021-10-27
60,Sassuolo,ITA,1,1681.36169434,2021-10-28,2021-10-30
59,Sassuolo,ITA,1,1681.36169434,2021-10-31,2021-10-31
66,Sassuolo,ITA,1,1668.96838379,2021-11-01,2021-11-01
67,Sassuolo,ITA,1,1668.96838379,2021-11-02,2021-11-02
67,Sassuolo,ITA,1,1670.72912598,2021-11-03,2021-11-03
66,Sassuolo,ITA,1,1670.9432373,2021-11-04,2021-11-04
63,Sassuolo,ITA,1,1670.97167969,2021-11-05,2021-11-06
64,Sassuolo,ITA,1,1670.97167969,2021-11-07,2021-11-07
68,Sassuolo,ITA,1,1661.84619141,2021-11-08,2021-11-19
69,Sassuolo,ITA,1,1661.84619141,2021-11-20,2021-11-21
70,Sassuolo,ITA,1,1657.25952148,2021-11-22,2021-11-23
70,Sassuolo,ITA,1,1653.8614502,2021-11-24,2021-11-24
70,Sassuolo,ITA,1,1654.21899414,2021-11-25,2021-11-25
70,Sassuolo,ITA,1,1659.390625,2021-11-26,2021-11-27
69,Sassuolo,ITA,1,1659.390625,2021-11-28,2021-11-28
60,Sassuolo,ITA,1,1677.59069824,2021-11-29,2021-12-01
60,Sassuolo,ITA,1,1680.25500488,2021-12-02,2021-12-05
61,Sassuolo,ITA,1,1676.5546875,2021-12-06,2021-12-07
61,Sassuolo,ITA,1,1672.51513672,2021-12-08,2021-12-08
62,Sassuolo,ITA,1,1673.07434082,2021-12-09,2021-12-09
63,Sassuolo,ITA,1,1670.33496094,2021-12-10,2021-12-12
59,Sassuolo,ITA,1,1678.01293945,2021-12-13,2021-12-19
59,Sassuolo,ITA,1,1678.30944824,2021-12-20,2021-12-22
73,Sassuolo,ITA,1,1659.38745117,2021-12-23,2021-12-28
72,Sassuolo,ITA,1,1659.38745117,2021-12-29,2021-12-31
73,Sassuolo,ITA,1,1659.38745117,2022-01-01,2022-01-02
